week,pick,opponent,gameday,win_prob,appended_date,season
3,KC,NYG,2025-09-21,0.79,2025-09-17,2025
4,HOU,TEN,2025-09-28,0.804,2025-09-17,2025
5,BUF,NE,2025-10-05,0.892,2025-09-17,2025
6,PIT,CLE,2025-10-12,0.756,2025-09-17,2025
7,DEN,NYG,2025-10-19,0.823,2025-09-17,2025
8,PHI,NYG,2025-10-26,0.925,2025-09-17,2025
9,LAR,NO,2025-11-02,0.818,2025-09-17,2025
10,TB,NE,2025-11-09,0.8,2025-09-17,2025
11,MIN,CHI,2025-11-16,0.772,2025-09-17,2025
12,DET,NYG,2025-11-23,0.883,2025-09-17,2025
13,LAC,LV,2025-11-30,0.791,2025-09-17,2025
14,GB,CHI,2025-12-07,0.855,2025-09-17,2025
15,SF,TEN,2025-12-14,0.816,2025-09-17,2025
16,BAL,NE,2025-12-21,0.881,2025-09-17,2025
17,SEA,CAR,2025-11-30,0.726,2025-09-17,2025
18,CIN,CLE,2026-01-04,0.818,2025-09-17,2025
